ID,Name,Sex,Age,Team,Games,Year,Season,City,Sport,Event,Medal,region
61988,Gisela Khler-Birkemeyer,F,24.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
61988,Gisela Khler-Birkemeyer,F,28.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Women's 100 metres,,Germany
61988,Gisela Khler-Birkemeyer,F,28.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Women's 200 metres,,Germany
61988,Gisela Khler-Birkemeyer,F,28.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Women's 80 metres Hurdles,Bronze,Germany
61995,Fabienne Kohlmann,F,22.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's 4 x 400 metres Relay,,Germany
61995,Fabienne Kohlmann,F,26.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Women's 800 metres,,Germany
61997,"Wilhelm ""Willy"" Kohlmey",M,26.0,Germany,1908 Summer,1908,Summer,London,Track & Field,Athletics Men's 100 metres,,Germany
62002,Otto Kohn,M,20.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,"Athletics Men's 5,000 metres",,Germany
62008,Carsten Uwe Khrbrck,M,25.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's 400 metres Hurdles,,Germany
62541,Walter Konrad,M,28.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,"Athletics Men's 10,000 metres",,Germany
62672,Fritz Kpke,M,26.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's High Jump,,Germany
62695,Fritz Kppen,M,25.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's Long Jump,,Germany
62698,"Rudolf ""Rudi"" Kppen",M,21.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's High Jump,,Germany
62830,Helmut Krnig,M,22.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's 200 metres,Bronze,Germany
62830,Helmut Krnig,M,22.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's 4 x 100 metres Relay,Silver,Germany
62830,Helmut Krnig,M,26.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Men's 100 metres,,Germany
62830,Helmut Krnig,M,26.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Men's 4 x 100 metres Relay,Silver,Germany
62954,Herbert Georg Koschel,M,30.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Men's Javelin Throw,,Germany
62954,Herbert Georg Koschel,M,34.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Men's Javelin Throw,,Germany
62970,Alexander Kosenkow,M,27.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's 100 metres,,Germany
62970,Alexander Kosenkow,M,27.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's 4 x 100 metres Relay,,Germany
62970,Alexander Kosenkow,M,31.0,Germany,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Men's 4 x 100 metres Relay,,Germany
62970,Alexander Kosenkow,M,35.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's 4 x 100 metres Relay,,Germany
63169,Dietmar Koszewski,M,24.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's 110 metres Hurdles,,Germany
63265,Sanaa Koubaa,F,31.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,"Athletics Women's 3,000 metres Steeplechase",,Germany
63720,Josef Krmer,M,27.0,Germany,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's High Jump,,Germany
63825,"Katharina Anna ""Kthe"" Krau",F,29.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Women's 100 metres,Bronze,Germany
63825,"Katharina Anna ""Kthe"" Krau",F,29.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
63827,Melanie Kraus,F,33.0,Germany,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Women's Marathon,,Germany
63832,Peter Friedrich Wilhelm Kraus,M,19.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Men's 200 metres,,Germany
63832,Peter Friedrich Wilhelm Kraus,M,19.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Men's 4 x 100 metres Relay,,Germany
63846,Gesa Felicitas Krause,F,19.0,Germany,2012 Summer,2012,Summer,London,Track & Field,"Athletics Women's 3,000 metres Steeplechase",,Germany
63846,Gesa Felicitas Krause,F,24.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,"Athletics Women's 3,000 metres Steeplechase",,Germany
63847,Hans-Helmuth Krause,M,,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,"Athletics Men's 1,500 metres",,Germany
63851,Konstantin Krause,M,24.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's Long Jump,,Germany
63923,Richard Krebs,M,21.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's 4 x 400 metres Relay,Silver,Germany
63951,Wolfgang Kreiig,M,25.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's High Jump,,Germany
63951,Wolfgang Kreiig,M,30.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Men's High Jump,,Germany
63991,Dorothea Kre,F,27.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Women's Shot Put,,Germany
64144,Gnter Krivec,M,22.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's Triple Jump,,Germany
64234,Sonja Krolik-Oberem,F,23.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's Marathon,,Germany
64234,Sonja Krolik-Oberem,F,27.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's Marathon,,Germany
64325,Eric Krger,M,24.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's 4 x 400 metres Relay,,Germany
64333,"Judith ""Jutta"" Krger (-Neumann)",F,19.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Women's Javelin Throw,,Germany
64336,"Luise Martha ""Lies"" Krger",F,21.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Women's Javelin Throw,Silver,Germany
64342,Walter Krger,M,30.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's Javelin Throw,Silver,Germany
64687,Fritz Khl,M,25.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's Shot Put,,Germany
64687,Fritz Khl,M,25.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's Discus Throw,,Germany
64687,Fritz Khl,M,29.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's Discus Throw,,Germany
64688,Jrgen Khl,M,21.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Men's 400 metres,,Germany
64688,Jrgen Khl,M,21.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Men's 4 x 400 metres Relay,,Germany
